ID,Timestamp,Platform,Ad Type,Title,Description,Link,Position,Channel,Views,Duration,Word Count,Char Count,Reading Level,Sentiment,Sentiment Confidence,Emotional Tone,Engagement Score,CTA Strength,Urgency Level,Emotional Triggers,Predicted CTR,Estimated Daily Impressions,Estimated CPC,Quality Score,Engagement Potential,Positioning Strategy,Target Audience,Key Selling Points,Competitive Advantages,Primary Keywords,Keyword Density,Missing Opportunities,Optimization Recommendations
16,2025-08-22 11:17:17,YouTube,Video,Python for Beginners - Learn Coding with Python in 1 Hour,"Learn Python basics in just 1 hour! Perfect for beginners interested in AI and coding. ⚡ Plus, get 6 months of PyCharm FREE with ...",https://www.youtube.com/watch?v=kqtD5dpn9C8,,Programming with Mosh,22497071,N/A,36,190,Easy,NEUTRAL,0.5,Neutral,9.0,None,Low,[],0.47,15225,17.97,6.3,high,Budget,beginners,"[""1 hour"", ""1 hour"", ""6 months"", ""beginner"", ""beginner""]","[""Free Content""]","[""python"", ""beginners"", ""learn"", ""coding"", ""hour""]",13.9,"[""certification"", ""job guarantee"", ""placement"", ""internship"", ""mentor""]","[""Strengthen call-to-action with action words like 'Start Learning Now' or 'Get Certified Today'"", ""Add urgency with phrases like 'Limited Time Offer' or 'Enroll Today'"", ""Include social proof like '10,000+ students' or 'Industry-recognized'"", ""Add authority indicators like 'Expert-led' or 'Industry-certified'""]"
32,2025-08-22 11:56:58,YouTube,Video,Python for Beginners - Learn Coding with Python in 1 Hour,"Learn Python basics in just 1 hour! Perfect for beginners interested in AI and coding. ⚡ Plus, get 6 months of PyCharm FREE with ...",https://www.youtube.com/watch?v=kqtD5dpn9C8,,Programming with Mosh,22497071,N/A,36,190,Easy,NEUTRAL,0.5,Neutral,9.0,None,Low,[],0.47,17177,21.04,6.3,high,Budget,beginners,"[""1 hour"", ""1 hour"", ""6 months"", ""beginner"", ""beginner""]","[""Free Content""]","[""python"", ""beginners"", ""learn"", ""coding"", ""hour""]",13.9,"[""certification"", ""job guarantee"", ""placement"", ""internship"", ""mentor""]","[""Strengthen call-to-action with action words like 'Start Learning Now' or 'Get Certified Today'"", ""Add urgency with phrases like 'Limited Time Offer' or 'Enroll Today'"", ""Include social proof like '10,000+ students' or 'Industry-recognized'"", ""Add authority indicators like 'Expert-led' or 'Industry-certified'""]"
48,2025-08-22 11:58:12,YouTube,Video,Python for Beginners - Learn Coding with Python in 1 Hour,"Learn Python basics in just 1 hour! Perfect for beginners interested in AI and coding. ⚡ Plus, get 6 months of PyCharm FREE with ...",https://www.youtube.com/watch?v=kqtD5dpn9C8,,Programming with Mosh,22497071,N/A,36,190,Easy,NEUTRAL,0.5,Neutral,9.0,None,Low,[],0.47,8406,23.94,6.3,high,Budget,beginners,"[""1 hour"", ""1 hour"", ""6 months"", ""beginner"", ""beginner""]","[""Free Content""]","[""python"", ""beginners"", ""learn"", ""coding"", ""hour""]",13.9,"[""certification"", ""job guarantee"", ""placement"", ""internship"", ""mentor""]","[""Strengthen call-to-action with action words like 'Start Learning Now' or 'Get Certified Today'"", ""Add urgency with phrases like 'Limited Time Offer' or 'Enroll Today'"", ""Include social proof like '10,000+ students' or 'Industry-recognized'"", ""Add authority indicators like 'Expert-led' or 'Industry-certified'""]"
4,2025-08-22 11:17:12,LinkedIn,Content Post,Want to Make $100K+ in Data Science? Start with These 6 ...,"Top 6 Courses to Jump‑Start Your Path: IBM Data Science Professional Certificate – Master Python, SQL, machine learning, data visualization, ...",https://www.linkedin.com/pulse/want-make-100k-data-science-start-6-free-kfbhf,4,,,,33,204,Medium,POSITIVE,0.9,Professional,8.0,None,Low,[],0.76,13597,20.33,7.7,high,Premium,beginners,"[""certificate""]","[""Certification""]","[""data"", ""science"", ""start"", ""want"", ""make""]",12.1,"[""certification"", ""job guarantee"", ""placement"", ""internship"", ""mentor""]","[""Strengthen call-to-action with action words like 'Start Learning Now' or 'Get Certified Today'"", ""Add urgency with phrases like 'Limited Time Offer' or 'Enroll Today'"", ""Include social proof like '10,000+ students' or 'Industry-recognized'"", ""Add authority indicators like 'Expert-led' or 'Industry-certified'""]"
20,2025-08-22 11:56:56,LinkedIn,Content Post,Want to Make $100K+ in Data Science? Start with These 6 ...,"Top 6 Courses to Jump‑Start Your Path: IBM Data Science Professional Certificate – Master Python, SQL, machine learning, data visualization, ...",https://www.linkedin.com/pulse/want-make-100k-data-science-start-6-free-kfbhf,4,,,,33,204,Medium,POSITIVE,0.9,Professional,8.0,None,Low,[],0.76,14888,30.67,7.7,high,Premium,beginners,"[""certificate""]","[""Certification""]","[""data"", ""science"", ""start"", ""want"", ""make""]",12.1,"[""certification"", ""job guarantee"", ""placement"", ""internship"", ""mentor""]","[""Strengthen call-to-action with action words like 'Start Learning Now' or 'Get Certified Today'"", ""Add urgency with phrases like 'Limited Time Offer' or 'Enroll Today'"", ""Include social proof like '10,000+ students' or 'Industry-recognized'"", ""Add authority indicators like 'Expert-led' or 'Industry-certified'""]"
36,2025-08-22 11:58:11,LinkedIn,Content Post,Want to Make $100K+ in Data Science? Start with These 6 ...,"Top 6 Courses to Jump‑Start Your Path: IBM Data Science Professional Certificate – Master Python, SQL, machine learning, data visualization, ...",https://www.linkedin.com/pulse/want-make-100k-data-science-start-6-free-kfbhf,4,,,,33,204,Medium,POSITIVE,0.9,Professional,8.0,None,Low,[],0.76,10478,18.79,7.7,high,Premium,beginners,"[""certificate""]","[""Certification""]","[""data"", ""science"", ""start"", ""want"", ""make""]",12.1,"[""certification"", ""job guarantee"", ""placement"", ""internship"", ""mentor""]","[""Strengthen call-to-action with action words like 'Start Learning Now' or 'Get Certified Today'"", ""Add urgency with phrases like 'Limited Time Offer' or 'Enroll Today'"", ""Include social proof like '10,000+ students' or 'Industry-recognized'"", ""Add authority indicators like 'Expert-led' or 'Industry-certified'""]"
5,2025-08-22 11:17:12,LinkedIn,Content Post,Anaconda Python for Data Science Professional Certificate,5 courses 10 hours of content · Explore the basics of data analysis. · Practice using Python with hands-on projects. · Learn how to scale your work with ...,https://www.linkedin.com/learning/paths/anaconda-python-for-data-science-professional-certificate,5,,,,36,214,Medium,POSITIVE,0.8,Professional,7.6,Medium,Low,[],1.19,9689,19.11,7.0,high,Premium,beginners,"[""10 hours"", ""certificate"", ""hands-on""]","[""Certification"", ""Practical Learning""]","[""python"", ""data"", ""anaconda"", ""science"", ""professional""]",16.7,"[""certification"", ""job guarantee"", ""placement"", ""internship"", ""mentor""]","[""Add urgency with phrases like 'Limited Time Offer' or 'Enroll Today'"", ""Include social proof like '10,000+ students' or 'Industry-recognized'"", ""Add authority indicators like 'Expert-led' or 'Industry-certified'""]"
21,2025-08-22 11:56:56,LinkedIn,Content Post,Anaconda Python for Data Science Professional Certificate,5 courses 10 hours of content · Explore the basics of data analysis. · Practice using Python with hands-on projects. · Learn how to scale your work with ...,https://www.linkedin.com/learning/paths/anaconda-python-for-data-science-professional-certificate,5,,,,36,214,Medium,POSITIVE,0.8,Professional,7.6,Medium,Low,[],1.19,11935,28.34,7.0,high,Premium,beginners,"[""10 hours"", ""certificate"", ""hands-on""]","[""Certification"", ""Practical Learning""]","[""python"", ""data"", ""anaconda"", ""science"", ""professional""]",16.7,"[""certification"", ""job guarantee"", ""placement"", ""internship"", ""mentor""]","[""Add urgency with phrases like 'Limited Time Offer' or 'Enroll Today'"", ""Include social proof like '10,000+ students' or 'Industry-recognized'"", ""Add authority indicators like 'Expert-led' or 'Industry-certified'""]"
37,2025-08-22 11:58:11,LinkedIn,Content Post,Anaconda Python for Data Science Professional Certificate,5 courses 10 hours of content · Explore the basics of data analysis. · Practice using Python with hands-on projects. · Learn how to scale your work with ...,https://www.linkedin.com/learning/paths/anaconda-python-for-data-science-professional-certificate,5,,,,36,214,Medium,POSITIVE,0.8,Professional,7.6,Medium,Low,[],1.19,8990,24.68,7.0,high,Premium,beginners,"[""10 hours"", ""certificate"", ""hands-on""]","[""Certification"", ""Practical Learning""]","[""python"", ""data"", ""anaconda"", ""science"", ""professional""]",16.7,"[""certification"", ""job guarantee"", ""placement"", ""internship"", ""mentor""]","[""Add urgency with phrases like 'Limited Time Offer' or 'Enroll Today'"", ""Include social proof like '10,000+ students' or 'Industry-recognized'"", ""Add authority indicators like 'Expert-led' or 'Industry-certified'""]"
2,2025-08-22 11:17:12,LinkedIn,Content Post,Data Science Professional Certificate by KNIME,"Unlock the power of data science with this comprehensive professional certificate. Gain essential skills to drive business insights, make data-driven ...",https://www.linkedin.com/learning/paths/data-science-professional-certificate-by-knime,2,,,,27,200,Difficult,POSITIVE,0.8,Professional,7.5,None,Low,[],0.63,17002,26.39,7.0,high,Premium,professionals,"[""certificate"", ""certificate""]","[""Certification""]","[""data"", ""science"", ""professional"", ""certificate"", ""knime""]",14.8,"[""certification"", ""job guarantee"", ""placement"", ""internship"", ""mentor""]","[""Strengthen call-to-action with action words like 'Start Learning Now' or 'Get Certified Today'"", ""Add urgency with phrases like 'Limited Time Offer' or 'Enroll Today'"", ""Include social proof like '10,000+ students' or 'Industry-recognized'"", ""Add authority indicators like 'Expert-led' or 'Industry-certified'""]"
